id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81
8337,81,30,59,13,2,58,42,59,13,4,22,24,59,41,13,60,40,13,22,63,41,23,59,3,42,59,23,13,5,22,13,1,22,13,60,5,15,13,37,63,5,13,60,5,13,60,23,13,58,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8338,81,4,22,24,59,41,13,5,2,58,5,13,24,59,13,2,58,42,59,13,40,22,13,4,22,24,59,41,13,5,22,13,1,22,35,13,38,22,41,13,60,38,13,2,59,13,23,2,22,24,13,63,23,13,2,60,23,13,24,22,63,40,1,23,57,58,40,1,13,5,59,3,3,13,63,23,13,2,60,23,13
8339,1,59,59,1,23,15,13,24,59,13,58,41,59,13,5,22,13,4,63,5,13,22,63,41,13,5,22,40,20,63,59,23,13,60,40,5,22,13,5,2,22,23,59,57,24,22,63,40,1,23,13,58,40,1,13,23,4,59,58,21,13,38,22,41,13,5,2,59,61,35,13,23,22,15,13,60,38,13,2,59,13
8340,5,59,3,3,13,63,23,13,2,60,23,13,40,22,37,3,59,13,1,59,59,1,23,15,13,24,59,57,61,63,23,5,13,58,3,23,22,13,5,59,3,3,13,2,60,61,13,22,63,41,13,40,22,37,3,59,13,58,19,19,59,4,5,58,40,19,59,13,22,38,13,5,2,59,61,53,13,67,40,20,41
8341,58,5,60,5,63,1,59,13,60,23,57,61,22,40,23,5,41,22,63,23,15,13,58,40,1,13,38,22,41,13,5,2,59,13,61,63,3,5,60,5,63,1,59,13,5,22,13,37,59,13,60,40,20,41,58,5,59,38,63,3,13,24,59,41,59,13,5,22,13,61,58,21,59,13,58,57,61,22,40,23,5
8342,59,41,13,22,38,13,5,2,59,13,61,63,3,5,60,5,63,1,59,35,13,22,38,13,5,2,59,13,24,2,60,19,2,13,24,59,13,37,59,60,40,20,13,61,59,61,37,59,41,23,13,23,2,22,63,3,1,57,37,41,60,40,20,13,22,63,41,23,59,3,42,59,23,13,5,22,13,37,59,13,61
8343,22,40,23,5,41,22,63,23,13,61,59,61,37,59,41,23,53,57,30,59,13,2,58,42,59,13,37,59,59,40,13,19,58,3,3,32,1,13,23,22,13,22,38,13,61,58,40,64,35,13,40,22,5,13,5,2,58,5,13,22,63,41,13,2,59,58,1,23,82,0,0,0,0,0,0,0,0,0,0,0,0
8344,81,24,60,3,3,76,13,32,5,60,23,13,23,5,41,22,40,20,3,64,13,24,59,1,20,32,1,13,63,4,13,60,40,13,58,13,37,3,22,19,21,76,2,59,58,1,35,13,37,63,5,13,60,38,13,60,5,13,24,59,41,59,13,58,5,57,3,60,37,59,41,5,64,13,32,5,24,22,63,3,1
8345,13,23,63,41,59,13,23,22,63,5,2,24,58,41,1,53,57,11,22,13,3,22,23,59,13,60,5,23,59,3,38,13,60,40,13,58,13,38,22,20,35,13,24,2,59,41,59,13,37,59,60,40,20,13,5,2,41,59,59,13,4,58,41,5,23,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8346,81,25,59,41,5,58,60,40,3,64,35,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8347,81,8,59,13,38,3,22,63,5,59,1,13,63,23,13,1,22,24,40,41,60,20,2,5,53,57,8,59,13,23,58,60,1,13,2,59,13,2,58,1,13,24,22,63,40,1,23,13,24,2,60,19,2,13,2,59,13,19,22,63,3,1,13,23,2,22,24,13,60,40,82,0,0,0,0,0,0,0,0,0,0
8348,81,71,28,70,13,68,70,29,11,13,5,2,60,40,21,15,13,60,38,13,24,59,13,20,60,42,59,13,64,22,63,13,58,40,64,5,2,60,40,20,15,13,24,59,13,2,22,4,59,13,5,22,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8349,81,65,40,1,13,23,22,13,1,60,1,13,67,35,13,58,40,1,15,13,5,22,13,23,58,64,13,5,2,59,13,5,41,63,5,2,15,13,23,22,13,1,60,1,13,42,59,41,64,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8350,81,8,22,24,15,13,40,22,5,13,64,22,63,41,13,22,24,40,13,1,59,23,60,41,59,36,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8351,81,13,13,4,41,60,42,58,5,59,15,57,65,40,1,13,24,60,5,2,13,2,60,23,13,2,58,5,15,13,5,2,63,23,13,24,58,42,60,40,20,13,60,5,13,60,40,13,23,19,22,41,40,15,57,32,67,13,24,22,63,3,1,13,37,59,13,19,22,40,23,63,3,15,32,13,23,58,64,23,13
8352,2,59,35,13,32,58,20,59,1,13,19,63,23,5,22,61,57,44,63,5,13,37,64,13,64,22,63,41,13,42,22,60,19,59,23,13,24,60,3,3,13,40,22,5,13,23,22,13,4,59,41,61,60,5,13,61,59,35,57,71,22,63,41,13,42,22,60,19,59,23,13,5,2,59,41,59,38,22,41,59,53
8353,32,13,30,2,59,40,13,24,59,13,20,41,58,40,5,59,1,13,5,2,58,5,15,57,8,59,41,59,13,24,58,23,13,32,67,13,5,2,58,40,21,13,64,22,63,13,38,22,41,13,64,22,63,41,13,42,22,60,19,59,23,53,13,11,2,58,40,21,13,64,22,63,15,57,71,22,63,41,13,61,22
8354,23,5,13,23,24,59,59,5,13,42,22,60,19,59,23,53,13,47,22,24,13,64,22,63,13,2,58,42,59,13,3,59,38,5,13,64,22,63,41,13,42,22,60,19,59,23,15,57,67,13,2,58,42,59,13,40,22,13,38,63,41,5,2,59,41,13,24,60,5,2,13,64,22,63,53,32,13,30,58,23,13
8355,40,22,5,13,5,2,60,23,13,61,22,19,21,59,41,64,36,57,8,59,32,23,13,40,22,5,13,19,22,40,38,60,41,61,32,1,56,13,24,59,13,61,58,64,13,1,59,40,64,13,2,60,61,13,64,59,5,53,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8356,81,19,22,40,23,19,60,59,40,19,59,32,13,23,58,21,59,15,13,5,22,13,2,59,3,4,13,5,22,13,20,59,5,13,5,2,59,59,13,58,13,24,60,38,59,53,57,65,41,59,13,64,22,63,13,58,3,3,13,41,59,23,22,3,42,32,1,13,5,22,13,20,60,42,59,13,64,22,63,41,13
8357,42,22,60,19,59,23,36,13,44,63,5,13,5,2,58,5,32,23,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8358,81,40,22,13,61,58,5,5,59,41,15,13,5,2,59,13,20,41,59,58,5,59,41,13,4,58,41,5,13,19,58,41,41,60,59,23,13,60,5,53,13,67,13,23,58,64,15,13,60,38,13,2,59,13,24,22,63,3,1,57,60,40,19,3,60,40,59,13,5,22,13,5,2,59,13,4,59,22,4,3,59
8359,15,13,5,2,59,41,59,13,24,58,23,13,40,59,42,59,41,13,58,13,24,22,41,5,2,60,59,41,13,61,58,40,53,57,13,13,13,13,13,13,13,13,13,13,13,13,66,40,5,59,41,13,25,28,48,67,28,9,65,47,70,29,15,13,60,40,13,58,13,20,22,24,40,13,22,38,13,2,63,61,60
8360,3,60,5,64,15,57,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,24,60,5,2,13,68,66,47,66,47,67,70,29,57,8,59,41,59,13,2,59,13,19,22,61,59,23,15,13,58,40,1,13,60,40,13,5,2,59,13,20,22,24,40,13,22,38,13
8361,2,63,61,60,3,60,5,64,53,13,68,58,41,21,13,2,60,23,13,37,59,2,58,42,60,22,63,41,53,57,30,59,13,58,41,59,13,40,22,5,13,5,22,13,23,5,58,64,13,58,3,3,13,5,22,20,59,5,2,59,41,15,13,37,63,5,13,5,22,13,19,22,61,59,13,37,64,13,2,60,61
8362,13,24,2,59,41,59,13,2,59,57,23,5,58,40,1,23,15,13,37,64,13,22,40,59,23,15,13,37,64,13,5,24,22,23,15,13,58,40,1,13,37,64,13,5,2,41,59,59,23,53,13,8,59,32,23,13,5,22,13,61,58,21,59,13,2,60,23,57,41,59,62,63,59,23,5,23,13,37,64,13,4
8363,58,41,5,60,19,63,3,58,41,23,15,13,24,2,59,41,59,60,40,13,59,42,59,41,64,13,22,40,59,13,22,38,13,63,23,13,2,58,23,13,58,13,23,60,40,20,3,59,57,2,22,40,22,63,41,15,13,60,40,13,20,60,42,60,40,20,13,2,60,61,13,22,63,41,13,22,24,40,13,42,22
