id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81
4492,81,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4493,81,68,64,23,59,3,38,13,2,58,42,59,13,2,59,58,41,1,13,58,13,42,22,60,19,59,13,5,22,13,19,58,3,3,13,2,60,61,13,23,22,53,57,65,13,4,3,63,61,13,5,41,59,59,15,13,61,58,23,5,59,41,53,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4494,81,11,22,22,13,5,41,63,59,35,13,58,40,1,13,37,22,63,20,2,5,13,2,60,23,13,19,3,60,61,37,60,40,20,13,42,59,41,64,13,1,59,58,41,53,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4495,81,65,3,58,23,15,13,23,60,41,15,13,24,59,13,1,60,1,13,60,5,13,38,22,41,13,4,63,41,59,13,40,59,59,1,73,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4496,81,65,64,13,60,40,1,59,59,1,13,24,58,23,13,2,59,53,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4497,81,68,22,23,5,13,5,41,63,59,15,13,38,22,41,23,22,22,5,2,35,13,58,40,1,13,61,58,40,64,13,5,60,61,59,13,58,40,1,13,22,38,5,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4498,81,67,40,15,13,60,40,15,13,60,40,15,13,60,40,73,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,66,6,59,63,40,5,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4499,81,13,13,13,13,13,65,3,3,13,3,22,42,59,41,23,13,64,22,63,40,20,15,13,58,3,3,13,3,22,42,59,41,23,13,61,63,23,5,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4500,81,13,13,13,13,13,13,13,13,13,65,40,1,13,41,59,40,22,24,40,59,1,13,37,59,13,5,2,64,13,20,41,58,42,59,73,57,13,13,13,13,13,48,59,76,59,40,5,59,41,13,44,66,9,65,48,67,70,29,13,24,60,5,2,13,5,2,59,13,37,22,1,64,13,22,38,13,25,9,28,11
4501,66,47,57,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
