id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81
0,81,11,2,59,13,23,5,58,5,59,13,22,38,13,61,58,40,13,60,40,13,1,60,42,59,41,23,13,38,63,40,19,5,60,22,40,23,15,57,29,59,5,5,60,40,20,13,59,40,1,59,58,42,22,63,41,13,60,40,13,19,22,40,5,60,40,63,58,3,13,61,22,5,60,22,40,35,57,11,22,13
1,24,2,60,19,2,13,60,23,13,38,60,6,59,1,13,58,23,13,58,40,13,58,60,61,13,22,41,13,37,63,5,57,28,37,59,1,60,59,40,19,59,35,13,38,22,41,13,23,22,13,24,22,41,21,13,5,2,59,13,2,22,40,59,64,13,37,59,59,23,15,57,25,41,59,58,5,63,41,59,23,13
2,5,2,58,5,13,37,64,13,58,13,41,63,3,59,13,60,40,13,40,58,5,63,41,59,13,5,59,58,19,2,57,11,2,59,13,58,19,5,13,22,38,13,22,41,1,59,41,13,5,22,13,58,13,4,59,22,4,3,59,1,13,21,60,40,20,1,22,61,53,57,11,2,59,64,13,2,58,42,59,13,58
3,13,21,60,40,20,15,13,58,40,1,13,22,38,38,60,19,59,41,23,13,22,38,13,23,22,41,5,23,15,57,30,2,59,41,59,13,23,22,61,59,13,3,60,21,59,13,61,58,20,60,23,5,41,58,5,59,23,13,19,22,41,41,59,19,5,13,58,5,13,2,22,61,59,35,57,28,5,2,59,41,23
4,13,3,60,21,59,13,61,59,41,19,2,58,40,5,23,13,42,59,40,5,63,41,59,13,5,41,58,1,59,13,58,37,41,22,58,1,35,57,28,5,2,59,41,23,13,3,60,21,59,13,23,22,3,1,60,59,41,23,15,13,58,41,61,59,1,13,60,40,13,5,2,59,60,41,13,23,5,60,40,20,23
5,15,57,68,58,21,59,13,37,22,22,5,13,63,4,22,40,13,5,2,59,13,23,63,61,61,59,41,32,23,13,42,59,3,42,59,5,13,37,63,1,23,15,57,30,2,60,19,2,13,4,60,3,3,58,20,59,13,5,2,59,64,13,24,60,5,2,13,61,59,41,41,64,13,61,58,41,19,2,13,37,41
6,60,40,20,13,2,22,61,59,57,11,22,13,5,2,59,13,5,59,40,5,76,41,22,64,58,3,13,22,38,13,5,2,59,60,41,13,59,61,4,59,41,22,41,35,57,30,2,22,15,13,37,63,23,60,59,1,13,60,40,13,2,60,23,13,61,58,39,59,23,5,64,15,13,23,63,41,42,59,64,23,57
7,11,2,59,13,23,60,40,20,60,40,20,13,61,58,23,22,40,23,13,37,63,60,3,1,60,40,20,13,41,22,22,38,23,13,22,38,13,20,22,3,1,15,57,11,2,59,13,19,60,42,60,3,13,19,60,5,60,43,59,40,23,13,21,40,59,58,1,60,40,20,13,63,4,13,5,2,59,13,2,22,40
8,59,64,15,57,11,2,59,13,4,22,22,41,13,61,59,19,2,58,40,60,19,13,4,22,41,5,59,41,23,13,19,41,22,24,1,60,40,20,13,60,40,57,11,2,59,60,41,13,2,59,58,42,64,13,37,63,41,1,59,40,23,13,58,5,13,2,60,23,13,40,58,41,41,22,24,13,20,58,5,59,15
9,57,11,2,59,13,23,58,1,76,59,64,32,1,13,39,63,23,5,60,19,59,15,13,24,60,5,2,13,2,60,23,13,23,63,41,3,64,13,2,63,61,15,57,7,59,3,60,42,59,41,60,40,20,13,22,32,59,41,13,5,22,13,59,6,59,19,63,5,22,41,23,13,4,58,3,59,57,11,2,59,13
10,3,58,43,64,13,64,58,24,40,60,40,20,13,1,41,22,40,59,53,13,67,13,5,2,60,23,13,60,40,38,59,41,15,57,11,2,58,5,13,61,58,40,64,13,5,2,60,40,20,23,15,13,2,58,42,60,40,20,13,38,63,3,3,13,41,59,38,59,41,59,40,19,59,57,11,22,13,22,40,59,13
11,19,22,40,23,59,40,5,15,13,61,58,64,13,24,22,41,21,13,19,22,40,5,41,58,41,60,22,63,23,3,64,35,57,65,23,13,61,58,40,64,13,58,41,41,22,24,23,13,3,22,22,23,59,1,13,23,59,42,59,41,58,3,13,24,58,64,23,57,25,22,61,59,13,5,22,13,22,40,59,13,61
12,58,41,21,15,13,58,23,13,61,58,40,64,13,24,58,64,23,13,61,59,59,5,13,60,40,13,22,40,59,13,5,22,24,40,15,57,65,23,13,61,58,40,64,13,38,41,59,23,2,13,23,5,41,59,58,61,23,13,61,59,59,5,13,60,40,13,22,40,59,13,23,58,3,5,13,23,59,58,15,57,65
13,23,13,61,58,40,64,13,3,60,40,59,23,13,19,3,22,23,59,13,60,40,13,5,2,59,13,1,60,58,3,32,23,13,19,59,40,5,41,59,35,57,29,22,13,61,58,40,64,13,58,13,5,2,22,63,23,58,40,1,13,58,19,5,60,22,40,23,15,13,22,40,19,59,13,58,38,22,22,5,15,57
14,66,40,1,13,60,40,13,22,40,59,13,4,63,41,4,22,23,59,15,13,58,40,1,13,37,59,13,58,3,3,13,24,59,3,3,13,2,22,61,59,57,30,60,5,2,22,63,5,13,1,59,38,59,58,5,53,13,11,2,59,41,59,38,22,41,59,13,5,22,13,45,41,58,40,19,59,15,13,61,64,13
15,3,60,59,20,59,53,57,7,60,42,60,1,59,13,64,22,63,41,13,2,58,4,4,64,13,66,40,20,3,58,40,1,13,60,40,5,22,13,38,22,63,41,35,57,30,2,59,41,59,22,38,13,5,58,21,59,13,64,22,63,13,22,40,59,13,62,63,58,41,5,59,41,13,60,40,5,22,13,45,41,58
16,40,19,59,15,57,65,40,1,13,64,22,63,13,24,60,5,2,58,3,13,23,2,58,3,3,13,61,58,21,59,13,58,3,3,13,26,58,3,3,60,58,13,23,2,58,21,59,53,57,67,38,13,24,59,15,13,24,60,5,2,13,5,2,41,60,19,59,13,23,63,19,2,13,4,22,24,59,41,23,13,3
17,59,38,5,13,58,5,13,2,22,61,59,15,57,25,58,40,40,22,5,13,1,59,38,59,40,1,13,22,63,41,13,22,24,40,13,1,22,22,41,23,13,38,41,22,61,13,5,2,59,13,1,22,20,15,57,9,59,5,13,63,23,13,37,59,13,24,22,41,41,60,59,1,15,13,58,40,1,13,22,63,41
18,13,40,58,5,60,22,40,13,3,22,23,59,57,11,2,59,13,40,58,61,59,13,22,38,13,2,58,41,1,60,40,59,23,23,13,58,40,1,13,4,22,3,60,19,64,53,57,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
